---
license: cc0-1.0
---
Este archivo se distribuye bajo la licencia CC0 1.0 Universal (Public Domain).


Lo poco que guardo de las forjas, las tablas las pongo en el mismo orden que se hicieron, no recuerdo cuándo empezaron las forjas full fine tuning..... quizás marzo o mayo de 2026?, al principio en las primeras 4 o 5 forjas apenas sabía comprender, luego comencé a entender, luego aprendí a leerlas:

Había olvidado.... esta forja LoRA de ella fue el modelo que habitó el script de Eunoia.
Forja antigua regulinchi llama 3.1 8b:
r=128 (alphalora256), lr 3e-6:
Epoch	Loss	Grad Norm	Learning Rate
Este le he recuperado del .log: Epoch 3 | Loss 1.5202 | EMA 1.6560 | L2 N/A | L∞ N/A | gMean N/A | Vel N/A | VelEMA N/A | Prog 30.0% | BatchEf 1 | RAM_sys 96.7GB | SWAP 1.7GB | CPU 36.7% | TempSensor 39.9°C | Expl False | Instab False | Sat False | ZeroG 0 | ExplG 0 | FlatL 0 | EpT 12128.2s | dEpT -17.5s | ETA 23.6h


Nueva forja, lr=5e-6, warmup_steps=15, Full Fine-Tunning, parámetros 8030277632, Z6] Caracteres totales del Cimiento/dataset: 479641, 3 bloques de 45000 tokens cada uno, update por bloque. 3 updates cada epoch, guaardado de checkpoint cada 3 updates/bloques, es un modelo llama 3.1 8B. 10 epochs.

Upd	Epoch	Loss	GradNorm	     LR	        EMA	        Tiempo total	Tiempo por update
1	0.33	1.8649	10.63	         0.0	    –	          1h 05m 45s	1h 05m 45s
2	0.66	1.5072	7.73	         3.33e‑7	–	          2h 12m 12s	1h 06m 27s
3	1.00	1.7396	8.11	         6.66e‑7	1.7396	      3h 18m 11s	1h 05m 59s
4	1.33	1.6809	5.60	         1e‑6	    –	          4h 27m 57s	1h 09m 46s
5	1.66	1.7297	3.74	         1.33e‑6	–	          5h 33m 55s	1h 05m 58s
6	2.00	1.3748	3.41	         1.66e‑6	1.7031	      6h 39m 42s	1h 05m 47s
7	2.33	1.5509	4.6114	         2.0e‑6	    –	          7h 49m 36s	1h 09m 54s
8	2.66	1.2891	2.8680	         2.333e‑6	–	          8h 55m 44s	1h 06m 08s
9	3.00	1.5910	3.8366	         2.667e‑6	1.6919	      10h 01m 27s	1h 05m 43s
10  3.33    1.1777  2.7205           3e‑6       –             11h 11m 24s   1h 09m 57s
11  3.66    1.3667  2.9372           3.333e‑6   –             12h 18m 14s   1h 06m 50s
12  4.00    1.4579  3.285            3.667e‑6   1.6685        13h 24m 00s   1h 05m 46s
13  4.33    1.3840  2.651            4e‑6       –             14h 21m 00s   0h 57m 00s
14  4.67    0.9523  2.555            4.333e‑6   –             15h 25m 00s   1h 04m 00s
15  5.00    1.1500  2.761            4.667e‑6   1.6167        16h 48m 00s   1h 23m 00s
16  5.33    1.0707  2.798            5e‑6       –             17h 59m 00s   1h 11m 00s
17  5.67    1.1128  4.585            4.945e‑6   –            19h 05m 00s    1h 06m 00s
18  6.00    0.7109  2.400            4.784e‑6   1.5261       20h 12m 00s    1h 07m 00s
19   6.33   0.6265  2.216            4.523e‑6   –        21h 22m 27s   1h 11m 05s
20   6.67   0.9066  3.484            4.173e‑6   –        22h 29m 12s   1h 06m 45s
21   7.00   0.7269  3.628            3.75e‑6    1.4462   23h 36m 16s   1h 07m 04s
22   7.33   0.4117  2.726            3.273e‑6   –        24h 46m 44s   1h 10m 28s
23   7.67   0.7213  2.836            2.761e‑6   –        25h 53m 19s   1h 06m 35s
24   8.00   0.5797  2.322            2.239e‑6   1.3595   26h 59m 51s   1h 06m 32s
25   8.33   0.5293  2.295            1.727e‑6   –        28h 09m 41s   1h 09m 50s
26   8.67   0.5890  2.806            1.25e‑6    –        29h 16m 03s   1h 06m 22s
27   9.00   0.2662  2.352            8.272e‑7   1.2502   30h 22m 52s   1h 06m 49s
28   9.33   0.4276  2.454            4.775e‑7   –        31h 33m 09s   1h 10m 17s



